# FrameID, Timestamp_Sec, Odom_X, Odom_Y, Odom_Yaw, Lat, Lon
27, 1762515287.268954, 692921.4810, 5339073.8837, 1.0871, 48.175548166, 11.595179563
28, 1762515287.291693, 692921.5079, 5339073.8694, 1.0872, 48.175548030, 11.595179920
29, 1762515287.326976, 692921.5129, 5339073.8668, 1.0872, 48.175548005, 11.595179985
30, 1762515287.373156, 692921.5499, 5339073.8472, 1.0872, 48.175547819, 11.595180475
31, 1762515287.406199, 692921.5748, 5339073.8340, 1.0872, 48.175547693, 11.595180804
32, 1762515287.428886, 692921.5782, 5339073.8321, 1.0872, 48.175547676, 11.595180849
33, 1762515287.469072, 692921.6098, 5339073.8136, 1.0872, 48.175547501, 11.595181266
34, 1762515287.503719, 692921.6372, 5339073.7989, 1.0872, 48.175547362, 11.595181628
35, 1762515287.527801, 692921.6701, 5339073.7815, 1.0873, 48.175547196, 11.595182065
36, 1762515287.550850, 692921.6740, 5339073.7794, 1.0873, 48.175547176, 11.595182116
37, 1762515287.595600, 692921.7172, 5339073.7562, 1.0875, 48.175546956, 11.595182686
38, 1762515287.629432, 692921.7465, 5339073.7405, 1.0876, 48.175546806, 11.595183074
39, 1762515287.675902, 692921.7788, 5339073.7232, 1.0877, 48.175546642, 11.595183502
40, 1762515287.710059, 692921.8182, 5339073.7023, 1.0878, 48.175546444, 11.595184022
41, 1762515287.749668, 692921.8257, 5339073.6983, 1.0878, 48.175546406, 11.595184122
42, 1762515287.761094, 692921.8649, 5339073.6776, 1.0878, 48.175546209, 11.595184640
43, 1762515287.781634, 692921.8721, 5339073.6737, 1.0878, 48.175546173, 11.595184736
44, 1762515287.824243, 692921.9077, 5339073.6550, 1.0878, 48.175545995, 11.595185206
45, 1762515287.871558, 692921.9447, 5339073.6353, 1.0878, 48.175545808, 11.595185696
46, 1762515287.891947, 692921.9490, 5339073.6331, 1.0878, 48.175545786, 11.595185753
47, 1762515287.921921, 692921.9835, 5339073.6148, 1.0878, 48.175545613, 11.595186208
48, 1762515287.961059, 692922.0304, 5339073.5900, 1.0879, 48.175545377, 11.595186829
49, 1762515287.986911, 692922.0763, 5339073.5658, 1.0880, 48.175545148, 11.595187437
50, 1762515288.037888, 692922.0948, 5339073.5561, 1.0880, 48.175545055, 11.595187681
51, 1762515288.064382, 692922.1317, 5339073.5366, 1.0881, 48.175544870, 11.595188169
52, 1762515288.085792, 692922.1682, 5339073.5172, 1.0883, 48.175544686, 11.595188652
53, 1762515288.124395, 692922.1767, 5339073.5127, 1.0883, 48.175544643, 11.595188765
54, 1762515288.167729, 692922.2303, 5339073.4842, 1.0886, 48.175544372, 11.595189473
55, 1762515288.188213, 692922.2882, 5339073.4535, 1.0890, 48.175544081, 11.595190239
56, 1762515288.211359, 692922.2945, 5339073.4501, 1.0890, 48.175544049, 11.595190323
57, 1762515288.264666, 692922.3428, 5339073.4245, 1.0894, 48.175543805, 11.595190961
58, 1762515288.298902, 692922.3867, 5339073.4011, 1.0898, 48.175543583, 11.595191542
59, 1762515288.324129, 692922.4315, 5339073.3751, 1.0902, 48.175543337, 11.595192133
60, 1762515288.354767, 692922.4398, 5339073.3707, 1.0903, 48.175543295, 11.595192244
61, 1762515288.395447, 692922.4997, 5339073.3390, 1.0909, 48.175542994, 11.595193035
62, 1762515288.416150, 692922.5640, 5339073.3051, 1.0917, 48.175542672, 11.595193886
63, 1762515288.453253, 692922.5749, 5339073.2993, 1.0919, 48.175542617, 11.595194030
64, 1762515288.500424, 692922.6269, 5339073.2720, 1.0926, 48.175542358, 11.595194718
65, 1762515288.524755, 692922.6728, 5339073.2478, 1.0932, 48.175542128, 11.595195326
66, 1762515288.557031, 692922.7351, 5339073.2152, 1.0942, 48.175541818, 11.595196149
67, 1762515288.594971, 692922.7977, 5339073.1824, 1.0951, 48.175541506, 11.595196977
68, 1762515288.627639, 692922.8198, 5339073.1708, 1.0955, 48.175541396, 11.595197269
69, 1762515288.664926, 692922.8731, 5339073.1430, 1.0965, 48.175541132, 11.595197975
70, 1762515288.692457, 692922.9236, 5339073.1166, 1.0975, 48.175540881, 11.595198643
71, 1762515288.723315, 692922.9335, 5339073.1115, 1.0977, 48.175540832, 11.595198774
72, 1762515288.747969, 692922.9840, 5339073.0851, 1.0987, 48.175540581, 11.595199442
73, 1762515288.792056, 692923.0559, 5339073.0475, 1.1002, 48.175540224, 11.595200394
74, 1762515288.838059, 692923.1401, 5339073.0036, 1.1017, 48.175539807, 11.595201507
75, 1762515288.861746, 692923.1485, 5339072.9993, 1.1018, 48.175539766, 11.595201618
76, 1762515288.887537, 692923.2025, 5339072.9716, 1.1026, 48.175539502, 11.595202333
77, 1762515288.930151, 692923.2629, 5339072.9407, 1.1034, 48.175539208, 11.595203131
78, 1762515288.956444, 692923.2720, 5339072.9360, 1.1035, 48.175539164, 11.595203253
79, 1762515288.977297, 692923.3411, 5339072.9007, 1.1042, 48.175538828, 11.595204167
80, 1762515289.032179, 692923.4334, 5339072.8537, 1.1052, 48.175538380, 11.595205388
81, 1762515289.064623, 692923.4452, 5339072.8476, 1.1053, 48.175538322, 11.595205545
82, 1762515289.122802, 692923.5628, 5339072.7876, 1.1066, 48.175537751, 11.595207101
83, 1762515289.157690, 692923.5757, 5339072.7810, 1.1067, 48.175537688, 11.595207272
84, 1762515289.180901, 692923.6497, 5339072.7432, 1.1076, 48.175537328, 11.595208251
85, 1762515289.200457, 692923.6570, 5339072.7394, 1.1077, 48.175537293, 11.595208348
86, 1762515289.234269, 692923.7480, 5339072.6933, 1.1089, 48.175536853, 11.595209551
87, 1762515289.256332, 692923.7568, 5339072.6888, 1.1090, 48.175536810, 11.595209668
88, 1762515289.283499, 692923.8179, 5339072.6579, 1.1099, 48.175536516, 11.595210478
89, 1762515289.314008, 692923.8810, 5339072.6262, 1.1108, 48.175536214, 11.595211313
90, 1762515289.362083, 692923.9688, 5339072.5821, 1.1123, 48.175535795, 11.595212474
91, 1762515289.395398, 692924.0331, 5339072.5313, 1.1136, 48.175535320, 11.595213318
92, 1762515289.437110, 692924.0638, 5339072.5159, 1.1141, 48.175535173, 11.595213724
93, 1762515289.473854, 692924.1134, 5339072.4908, 1.1151, 48.175534935, 11.595214381
94, 1762515289.497516, 692924.1926, 5339072.4511, 1.1167, 48.175534556, 11.595215429
95, 1762515289.519973, 692924.2015, 5339072.4466, 1.1168, 48.175534513, 11.595215548
96, 1762515289.555403, 692924.2991, 5339072.3979, 1.1188, 48.175534049, 11.595216840
97, 1762515289.582913, 692924.3109, 5339072.3920, 1.1190, 48.175533993, 11.595216996
98, 1762515289.611461, 692924.3750, 5339072.3601, 1.1202, 48.175533689, 11.595217845
99, 1762515289.654508, 692924.4450, 5339072.3254, 1.1214, 48.175533358, 11.595218771
100, 1762515289.694216, 692924.5137, 5339072.2915, 1.1225, 48.175533035, 11.595219680
101, 1762515289.714305, 692924.5217, 5339072.2876, 1.1227, 48.175532997, 11.595219787
102, 1762515289.754440, 692924.6084, 5339072.2453, 1.1239, 48.175532594, 11.595220935
103, 1762515289.804826, 692924.7119, 5339072.1951, 1.1253, 48.175532115, 11.595222306
104, 1762515289.826840, 692924.7737, 5339072.1649, 1.1261, 48.175531827, 11.595223125
105, 1762515289.854041, 692924.7847, 5339072.1596, 1.1262, 48.175531776, 11.595223269
106, 1762515289.890166, 692924.8520, 5339072.1266, 1.1272, 48.175531461, 11.595224161
107, 1762515289.918541, 692924.9338, 5339072.0867, 1.1283, 48.175531080, 11.595225245
108, 1762515289.946355, 692924.9450, 5339072.0812, 1.1284, 48.175531028, 11.595225393
109, 1762515289.994158, 692925.0469, 5339072.0318, 1.1297, 48.175530556, 11.595226743
110, 1762515290.025755, 692925.1125, 5339072.0001, 1.1302, 48.175530253, 11.595227611
111, 1762515290.072128, 692925.1833, 5339071.9658, 1.1305, 48.175529927, 11.595228549
112, 1762515290.101246, 692925.2470, 5339071.9350, 1.1305, 48.175529633, 11.595229393
113, 1762515290.132135, 692925.2592, 5339071.9292, 1.1305, 48.175529577, 11.595229555
114, 1762515290.151914, 692925.3364, 5339071.8921, 1.1300, 48.175529222, 11.595230577
115, 1762515290.185692, 692925.4181, 5339071.8531, 1.1293, 48.175528850, 11.595231659
116, 1762515290.227882, 692925.4479, 5339071.8390, 1.1290, 48.175528715, 11.595232054
117, 1762515290.273688, 692925.5176, 5339071.8059, 1.1282, 48.175528399, 11.595232978
118, 1762515290.307236, 692925.5935, 5339071.7768, 1.1277, 48.175528117, 11.595233986
119, 1762515290.330408, 692925.6708, 5339071.7391, 1.1270, 48.175527757, 11.595235010
120, 1762515290.363968, 692925.6839, 5339071.7328, 1.1269, 48.175527696, 11.595235182
121, 1762515290.384409, 692925.7696, 5339071.6907, 1.1262, 48.175527295, 11.595236318
122, 1762515290.419804, 692925.7856, 5339071.6829, 1.1260, 48.175527221, 11.595236529
123, 1762515290.469769, 692925.8560, 5339071.6485, 1.1253, 48.175526893, 11.595237462
124, 1762515290.502028, 692925.9193, 5339071.6178, 1.1245, 48.175526599, 11.595238300
125, 1762515290.523640, 692925.9784, 5339071.5890, 1.1237, 48.175526325, 11.595239083
