# time, id, conf, x, y, z, ego_x, ego_y, orient, side, R, G, B
1762515286.727, 3, 0.82, 692942.69, 5339054.97, 550.50, 692921.27, 5339074.00, 1.09, 80-80-80
1762515286.727, 4, 0.74, 692951.62, 5339049.34, 551.60, 692921.27, 5339074.00, 1.09, 80-80-80
1762515286.759, 1, 0.91, 692959.08, 5339055.18, 551.77, 692921.28, 5339073.99, 1.09, 100-60-60
1762515286.759, 2, 0.86, 692935.06, 5339059.92, 549.73, 692921.28, 5339073.99, 1.09, 20-20-40
1762515286.759, 3, 0.83, 692942.37, 5339055.27, 550.47, 692921.28, 5339073.99, 1.09, 80-80-80
1762515286.759, 4, 0.74, 692951.63, 5339049.34, 551.59, 692921.28, 5339073.99, 1.09, 80-80-80
1762515286.806, 1, 0.92, 692959.12, 5339055.21, 551.76, 692921.29, 5339073.98, 1.09, 100-60-60
1762515286.806, 2, 0.86, 692935.07, 5339059.91, 549.71, 692921.29, 5339073.98, 1.09, 20-20-40
1762515286.806, 3, 0.84, 692942.38, 5339055.26, 550.44, 692921.29, 5339073.98, 1.09, 80-80-80
1762515286.806, 4, 0.74, 692950.98, 5339049.88, 551.52, 692921.29, 5339073.98, 1.09, 80-80-80
1762515286.823, 1, 0.92, 692960.09, 5339054.72, 551.84, 692921.29, 5339073.98, 1.09, 100-60-60
1762515286.823, 2, 0.87, 692934.94, 5339060.05, 549.70, 692921.29, 5339073.98, 1.09, 20-40-60
1762515286.823, 3, 0.85, 692942.39, 5339055.26, 550.44, 692921.29, 5339073.98, 1.09, 80-80-80
1762515286.823, 4, 0.74, 692950.99, 5339049.88, 551.52, 692921.29, 5339073.98, 1.09, 80-80-80
1762515286.866, 1, 0.92, 692960.10, 5339054.72, 551.84, 692921.31, 5339073.98, 1.09, 100-60-60
1762515286.866, 2, 0.87, 692935.08, 5339059.89, 549.71, 692921.31, 5339073.98, 1.09, 20-20-40
1762515286.866, 3, 0.84, 692942.40, 5339055.25, 550.44, 692921.31, 5339073.98, 1.09, 80-80-80
1762515286.866, 4, 0.73, 692951.00, 5339049.87, 551.52, 692921.31, 5339073.98, 1.09, 80-80-80
1762515286.866, 5, 0.57, 692960.13, 5339044.30, 552.39, 692921.31, 5339073.98, 1.09, 80-80-80
1762515286.899, 1, 0.92, 692959.15, 5339055.19, 551.76, 692921.32, 5339073.97, 1.09, 100-60-60
1762515286.899, 2, 0.88, 692934.96, 5339060.03, 549.70, 692921.32, 5339073.97, 1.09, 20-20-40
1762515286.899, 3, 0.86, 692942.73, 5339054.92, 550.47, 692921.32, 5339073.97, 1.09, 80-80-80
1762515286.899, 4, 0.74, 692951.66, 5339049.28, 551.58, 692921.32, 5339073.97, 1.09, 80-80-80
1762515286.899, 6, 0.64, 692964.54, 5339049.49, 552.61, 692921.32, 5339073.97, 1.09, 80-100-100
1762515286.930, 1, 0.92, 692959.16, 5339055.19, 551.71, 692921.32, 5339073.97, 1.09, 100-60-60
1762515286.930, 2, 0.88, 692934.97, 5339060.02, 549.70, 692921.32, 5339073.97, 1.09, 20-20-40
1762515286.930, 3, 0.86, 692942.74, 5339054.92, 550.47, 692921.32, 5339073.97, 1.09, 80-80-80
1762515286.930, 4, 0.75, 692951.68, 5339049.31, 551.54, 692921.32, 5339073.97, 1.09, 80-80-80
1762515286.930, 6, 0.63, 692964.55, 5339049.49, 552.56, 692921.32, 5339073.97, 1.09, 80-100-100
1762515286.954, 1, 0.92, 692959.17, 5339055.18, 551.75, 692921.34, 5339073.96, 1.09, 100-60-60
1762515286.954, 2, 0.88, 692934.85, 5339060.16, 549.67, 692921.34, 5339073.96, 1.09, 20-20-40
1762515286.954, 3, 0.85, 692942.75, 5339054.91, 550.47, 692921.34, 5339073.96, 1.09, 80-80-80
1762515286.954, 4, 0.76, 692951.01, 5339049.82, 551.52, 692921.34, 5339073.96, 1.09, 80-80-80
1762515286.954, 5, 0.59, 692960.16, 5339044.28, 552.39, 692921.34, 5339073.96, 1.09, 80-80-80
1762515286.983, 1, 0.92, 692958.27, 5339055.63, 551.68, 692921.34, 5339073.96, 1.09, 100-60-60
1762515286.983, 2, 0.88, 692934.86, 5339060.15, 549.68, 692921.34, 5339073.96, 1.09, 20-20-40
1762515286.983, 3, 0.86, 692942.43, 5339055.21, 550.44, 692921.34, 5339073.96, 1.09, 80-80-80
1762515286.983, 4, 0.76, 692951.69, 5339049.27, 551.54, 692921.34, 5339073.96, 1.09, 80-80-80
1762515286.983, 5, 0.60, 692960.18, 5339044.28, 552.39, 692921.34, 5339073.96, 1.09, 80-80-80
1762515287.030, 1, 0.92, 692960.17, 5339054.69, 551.83, 692921.37, 5339073.94, 1.09, 100-60-60
1762515287.030, 2, 0.88, 692934.88, 5339060.15, 549.69, 692921.37, 5339073.94, 1.09, 20-20-40
1762515287.030, 3, 0.85, 692942.45, 5339055.20, 550.42, 692921.37, 5339073.94, 1.09, 80-80-80
1762515287.030, 4, 0.75, 692951.04, 5339049.81, 551.52, 692921.37, 5339073.94, 1.09, 80-80-80
1762515287.072, 1, 0.92, 692959.22, 5339055.16, 551.76, 692921.38, 5339073.94, 1.09, 100-60-60
1762515287.072, 2, 0.89, 692934.89, 5339060.12, 549.70, 692921.38, 5339073.94, 1.09, 20-20-40
1762515287.072, 3, 0.86, 692942.47, 5339055.19, 550.44, 692921.38, 5339073.94, 1.09, 80-80-80
1762515287.072, 4, 0.76, 692951.73, 5339049.25, 551.55, 692921.38, 5339073.94, 1.09, 80-80-80
1762515287.087, 1, 0.92, 692959.23, 5339055.15, 551.76, 692921.40, 5339073.93, 1.09, 100-60-60
1762515287.087, 2, 0.89, 692934.90, 5339060.11, 549.70, 692921.40, 5339073.93, 1.09, 20-20-40
1762515287.087, 3, 0.86, 692942.48, 5339055.18, 550.44, 692921.40, 5339073.93, 1.09, 80-80-80
1762515287.087, 4, 0.75, 692951.07, 5339049.79, 551.52, 692921.40, 5339073.93, 1.09, 80-80-80
1762515287.087, 5, 0.58, 692960.22, 5339044.25, 552.35, 692921.40, 5339073.93, 1.09, 80-80-80
1762515287.122, 1, 0.92, 692959.24, 5339055.14, 551.76, 692921.40, 5339073.93, 1.09, 100-60-60
1762515287.122, 2, 0.89, 692934.91, 5339060.11, 549.70, 692921.40, 5339073.93, 1.09, 20-20-40
1762515287.122, 3, 0.86, 692942.49, 5339055.17, 550.44, 692921.40, 5339073.93, 1.09, 80-80-80
1762515287.122, 4, 0.77, 692951.73, 5339049.20, 551.59, 692921.40, 5339073.93, 1.09, 80-80-80
1762515287.163, 1, 0.92, 692959.26, 5339055.13, 551.76, 692921.43, 5339073.91, 1.09, 100-60-60
1762515287.163, 2, 0.89, 692934.93, 5339060.10, 549.70, 692921.43, 5339073.91, 1.09, 20-20-40
1762515287.163, 3, 0.86, 692942.85, 5339054.86, 550.47, 692921.43, 5339073.91, 1.09, 80-80-80
1762515287.163, 4, 0.78, 692951.77, 5339049.22, 551.59, 692921.43, 5339073.91, 1.09, 80-80-80
1762515287.183, 1, 0.92, 692959.28, 5339055.13, 551.76, 692921.46, 5339073.90, 1.09, 100-60-60
1762515287.183, 2, 0.87, 692934.93, 5339060.07, 549.70, 692921.46, 5339073.90, 1.09, 20-20-40
1762515287.183, 3, 0.87, 692942.52, 5339055.14, 550.47, 692921.46, 5339073.90, 1.09, 80-80-80
1762515287.183, 4, 0.77, 692951.78, 5339049.22, 551.59, 692921.46, 5339073.90, 1.09, 80-80-80
1762515287.217, 1, 0.92, 692959.29, 5339055.12, 551.76, 692921.46, 5339073.89, 1.09, 100-60-60
1762515287.217, 3, 0.87, 692942.53, 5339055.13, 550.44, 692921.46, 5339073.89, 1.09, 80-80-80
1762515287.217, 2, 0.87, 692934.95, 5339060.07, 549.70, 692921.46, 5339073.89, 1.09, 20-20-40
1762515287.217, 4, 0.78, 692951.80, 5339049.21, 551.59, 692921.46, 5339073.89, 1.09, 80-80-80
1762515287.269, 1, 0.92, 692959.33, 5339055.11, 551.76, 692921.48, 5339073.89, 1.09, 100-60-60
1762515287.269, 3, 0.88, 692942.57, 5339055.11, 550.44, 692921.48, 5339073.89, 1.09, 80-80-80
1762515287.269, 2, 0.86, 692934.98, 5339060.03, 549.70, 692921.48, 5339073.89, 1.09, 20-20-40
1762515287.269, 4, 0.77, 692951.82, 5339049.16, 551.59, 692921.48, 5339073.89, 1.09, 80-80-80
1762515287.292, 1, 0.92, 692959.34, 5339055.10, 551.76, 692921.51, 5339073.87, 1.09, 100-60-60
1762515287.292, 2, 0.87, 692934.99, 5339060.03, 549.70, 692921.51, 5339073.87, 1.09, 20-20-40
1762515287.292, 3, 0.86, 692942.58, 5339055.11, 550.47, 692921.51, 5339073.87, 1.09, 80-80-80
1762515287.292, 4, 0.76, 692951.84, 5339049.16, 551.59, 692921.51, 5339073.87, 1.09, 80-80-80
1762515287.327, 1, 0.92, 692958.45, 5339055.55, 551.68, 692921.54, 5339073.85, 1.09, 100-60-60
1762515287.327, 3, 0.88, 692942.59, 5339055.07, 550.47, 692921.54, 5339073.85, 1.09, 80-80-80
1762515287.327, 2, 0.87, 692935.00, 5339060.00, 549.70, 692921.54, 5339073.85, 1.09, 20-20-40
1762515287.327, 4, 0.77, 692951.85, 5339049.15, 551.55, 692921.54, 5339073.85, 1.09, 80-80-80
1762515287.373, 1, 0.92, 692959.40, 5339055.07, 551.75, 692921.57, 5339073.84, 1.09, 100-60-60
1762515287.373, 3, 0.90, 692942.96, 5339054.75, 550.49, 692921.57, 5339073.84, 1.09, 80-80-80
1762515287.373, 2, 0.87, 692934.91, 5339060.12, 549.68, 692921.57, 5339073.84, 1.09, 20-20-40
1762515287.373, 4, 0.78, 692951.89, 5339049.13, 551.58, 692921.57, 5339073.84, 1.09, 80-80-80
1762515287.406, 1, 0.92, 692958.53, 5339055.56, 551.67, 692921.57, 5339073.84, 1.09, 100-60-60
1762515287.406, 3, 0.90, 692942.65, 5339055.04, 550.46, 692921.57, 5339073.84, 1.09, 80-80-80
1762515287.406, 2, 0.89, 692934.92, 5339060.10, 549.68, 692921.57, 5339073.84, 1.09, 20-20-40
1762515287.406, 4, 0.79, 692951.91, 5339049.12, 551.57, 692921.57, 5339073.84, 1.09, 80-80-80
1762515287.429, 1, 0.92, 692958.53, 5339055.55, 551.67, 692921.60, 5339073.82, 1.09, 100-60-60
1762515287.429, 3, 0.90, 692942.66, 5339055.04, 550.46, 692921.60, 5339073.82, 1.09, 80-80-80
